Environment,Rank,Model,Final IQM,± SE,Runs
Ant Ball,1,CRL,0.1796875,0.003025768239224544,10
Ant Ball,2,PPO,0.00439453125,0.002144311683724804,10
Ant Ball,3,SAC,0.0033203125,0.000662336912414577,10
Ant U Maze,1,SAC_HER,0.321875,0.0010054326309557617,10
Ant U Maze,2,CRL,0.2666015625,0.009878900329097343,10
Ant U Maze,3,SAC,0.1462890625,0.0013246738248291537,10
Humanoid,1,CRL,0.2041015625,0.009212872199274027,10
Humanoid,2,SAC_HER,0.012369791666666666,0.006871497292686856,10
Humanoid,3,SAC,0.0011160714285714285,0.0005808219864581844,10
Reacher,1,SAC,1.0,0.0,10
Reacher,2,SAC_HER,1.0,0.0,10
Reacher,3,TD3_HER,1.0,0.0,10
